hgnc_symbol,refseq_mrna
"NAT9",NM_001305084
"NAT9",NM_001305088
"NAT9",NM_001305079
TLCD4-RWDD3,NM_001199691
WBP2,NM_012478
WBP2,NM_001348170
WBP2,NM_001330499
NDUFA2,NM_002488
NDUFA2,NM_001185012
SCML1,NM_001037535
SCML1,NM_001037536
SCML1,NM_006746
SCML1,NM_001037540
ZNF302,NM_001012320
ZNF302,NM_001289183
ZNF302,NM_001289186
ZNF302,NM_001289187
ZNF302,NM_018443
ZNF302,NM_001289188
ZNF302,NM_001289189
ZNF302,NM_001289181
ZNF302,NM_018675
ZNF302,NM_001289192
ZNF302,NM_001289191
ZNF302,NM_001289190
ZNF302,NM_001289182
ZNF302,NM_001289184
ZNF302,NM_001289185
KAT2B,NM_003884
SECISBP2L,NM_001193489
SECISBP2L,NM_014701
FAM50A,NM_004699
SERINC1,NM_020755
RETREG2,NM_001321109
RETREG2,NM_001321110
RETREG2,NM_024293
RNF115,NM_014455
TLCD5,NM_001198671
TLCD5,NM_001198672
TLCD5,NM_001198673
TLCD5,NM_001198675
TLCD5,NM_001198670
TLCD5,NM_174926
TLCD5,NM_001198674
RTF2,NM_001283035
RTF2,NM_001283037
RTF2,NM_016407
RTF2,NM_001283036
TMEM14C,NM_001165258
TMEM14C,NM_016462
TMCO1,NM_001256164
TMCO1,NM_019026
TMCO1,NM_001256165
LNPK,NM_030650
LNPK,NM_001305010
LNPK,NM_001305008
LNPK,NM_001305011
LNPK,NM_001305009
ZNF83,NM_001277946
ZNF83,NM_001277949
ZNF83,NM_001277948
ZNF83,NM_001277945
ZNF83,NM_001348015
ZNF83,NM_001348018
ZNF83,NM_001348017
ZNF83,NM_001277947
ZNF83,NM_001348019
ZNF83,NM_018300
ZNF83,NM_001105552
ZNF83,NM_001105550
ZNF83,NM_001277952
ZNF83,NM_001105551
ZNF83,NM_001105549
ZNF83,NM_001277951
ZNF83,NM_001348016
SELENOK,NM_021237
TAPT1,NM_153365
RHEB,NM_005614
HPCAL1,NM_002149
HPCAL1,NM_134421
HPCAL1,NM_001258357
HPCAL1,NM_001258358
HPCAL1,NM_001258359
TMEM65,NM_194291
FBXO9,NM_033481
FBXO9,NM_033480
FBXO9,NM_012347
ERGIC1,NM_001031711
COG1,NM_018714
